"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
3,"PJCC-D23","NA","0:22:53",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 16:31:43","04/01/2019 16:54:36","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-D29-30","upper","0:32:54",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 16:37:28","04/01/2019 17:10:22","271d6088283749c5d65c5428c0c967a9"
3,"PJCC-D29-30","lower","0:32:54",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 16:37:28","04/01/2019 17:10:22","271d6088283749c5d65c5428c0c967a9"
4,"PJCC-D29-30","upper","0:8:10",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 17:10:44","04/01/2019 17:18:54","271d6088283749c5d65c5428c0c967a9"
5,"PJCC-D29-30","lower","0:8:10",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 17:10:44","04/01/2019 17:18:54","271d6088283749c5d65c5428c0c967a9"
4,"PJCC-D23","NA","0:0:31",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 17:53:29","04/01/2019 17:54:00","e1c98e44e2af2b1d3cc1c36c45e08000"
5,"PJCC-D23","NA","0:0:42",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 17:54:22","04/01/2019 17:55:04","e1c98e44e2af2b1d3cc1c36c45e08000"
6,"PJCC-D23","NA","0:0:20",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 17:55:21","04/01/2019 17:55:41","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-W25","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 18:40:34","04/01/2019 19:06:09","e92b1ad5c195c747a7d2a0845204d8f7"
4,"PJCC-W4","NA","0:24:16",4,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 20:11:23","04/01/2019 20:35:39","583f39fc2ca046563574510e34b345ef"
3,"PJCC-W3","NA","0:24:18",4,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 20:11:36","04/01/2019 20:35:54","7ce10970545f2bd2bb77388f95c4fa65"
1,"PJCC-W22","NA","0:25:47",8,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 20:13:39","04/01/2019 20:39:26","301b33a5742e1a5fc36a572f0126c245"
3,"PJCC-W25","NA","0:25:37",12,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 20:24:11","04/01/2019 20:49:48","e92b1ad5c195c747a7d2a0845204d8f7"
